respuesta,respuesta_LN,calificacion
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Su genialidad por inovar,2
Experiencia de consumo única y placentera,Me gusto mucho la experiencia que ofrece,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sus diferentes tipos de sabores,2
Experiencia de consumo única y placentera,Es muy agradable la experiencia que ofrece,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Otros,Sabor peculiar y distintivo,1
Otros,Opción poco convencional,1
Otros,Experiencia sorprendente,1
Otros,Características únicas,1
Otros,Diferente a cualquier otra opción,1
Otros,Elección inesperada,1
Otros,Alternativa interesante,1
Otros,Opción peculiar y exclusiva,1
Otros,Sabores atípicos,1
Otros,Experiencia distinta y singular,1
Otros,Selección no convencional,1
Otros,Atributos sorprendentes,1
Otros,Diversidad inusual,1
Otros,Elección poco común,1
Otros,Opción extravagante,1
Otros,Sabores originales y singulares,1
Otros,Experiencia fuera de lo común,1
Otros,Características peculiares,1
Otros,Diferente a lo convencional,1
Otros,Elección extraordinaria,1
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
Sabor clásico e icónico de Coca-Cola,Sabor clásico e icónico de Coca-Cola,5
Opción refrescante y con gas,Opción refrescante y con gas,3
Sabores innovadores y variados,Sabores innovadores y variados,2
Experiencia de consumo única y placentera,Experiencia de consumo única y placentera,4
