respuesta,respuesta_LN,calificacion
Precio competitivo,"Precios competitivos y atractivos",5
Disponibilidad en tiendas y establecimientos,"Fácilmente disponible en tiendas y lugares",3
Promociones y descuentos,"Ofertas especiales y descuentos",4
Recomendación de amigos o familiares,"Recomendación personal de amigos o familiares",2
Publicidad y campañas de marketing,"Impactante publicidad y campañas de marketing",3
Otros:,"Diferentes razones",1
Precio competitivo,"Buen precio",5
Disponibilidad en tiendas y establecimientos,"Fácil de encontrar en tiendas",3
Promociones y descuentos,"Descuentos y promociones atractivas",4
Recomendación de amigos o familiares,"Recomendado por conocidos",2
Publicidad y campañas de marketing,"Buena publicidad y estrategias de marketing",3
Otros:,"Diferentes motivos",1
Precio competitivo,"Precios competitivos",5
Disponibilidad en tiendas y establecimientos,"Amplia disponibilidad en tiendas",3
Promociones y descuentos,"Promociones y descuentos interesantes",4
Recomendación de amigos o familiares,"Recomendado por personas cercanas",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing",3
Otros:,"Otras razones",1
Precio competitivo,"Precios asequibles",5
Disponibilidad en tiendas y establecimientos,"Fácil de encontrar en diferentes lugares",3
Promociones y descuentos,"Ofertas y descuentos atractivos",4
Recomendación de amigos o familiares,"Recomendado por seres queridos",2
Publicidad y campañas de marketing,"Publicidad llamativa y estrategias de marketing",3
Otros:,"Otras circunstancias",1
Precio competitivo,"Buenos precios",5
Disponibilidad en tiendas y establecimientos,"Disponibilidad en tiendas y comercios",3
Promociones y descuentos,"Promociones y descuentos interesantes",4
Recomendación de amigos o familiares,"Recomendado por familiares o amigos cercanos",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing impactantes",3
Otros:,"Otras motivaciones",1
Precio competitivo,"Precios competitivos en el mercado",5
Disponibilidad en tiendas y establecimientos,"Amplia disponibilidad en diferentes tiendas",3
Promociones y descuentos,"Atractivas promociones y descuentos",4
Recomendación de amigos o familiares,"Recomendado por amigos y familiares",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing notables",3
Otros:,"Distintos aspectos",1
Precio competitivo,"Precios atractivos y competitivos",5
Disponibilidad en tiendas y establecimientos,"Amplia disponibilidad en tiendas y establecimientos",3
Promociones y descuentos,"Ofertas promocionales y descuentos interesantes",4
Recomendación de amigos o familiares,"Recomendado por amigos o familiares cercanos",2
Publicidad y campañas de marketing,"Publicidad impactante y estrategias de marketing efectivas",3
Otros:,"Diferentes consideraciones",1
Precio competitivo,"Buen precio y competitivo",5
Disponibilidad en tiendas y establecimientos,"Ampliamente disponible en tiendas y establecimientos",3
Promociones y descuentos,"Atractivas promociones y descuentos",4
Recomendación de amigos o familiares,"Recomendado por amigos y familiares",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing llamativas",3
Otros:,"Otros motivos",1
Precio competitivo,"Precios competitivos y asequibles",5
Disponibilidad en tiendas y establecimientos,"Disponible en varias tiendas y establecimientos",3
Promociones y descuentos,"Ofertas promocionales y descuentos atractivos",4
Recomendación de amigos o familiares,"Recomendado por amigos o familiares cercanos",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing impactantes",3
Otros:,"Diferentes factores",1
Precio competitivo,"Buen precio y asequible",5
Disponibilidad en tiendas y establecimientos,"Amplia disponibilidad en tiendas y comercios",3
Promociones y descuentos,"Ofertas promocionales y descuentos atractivos",4
Recomendación de amigos o familiares,"Recomendado por amigos o familiares cercanos",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing notables",3
Otros:,"Otras razones",1
Precio competitivo,"Precios atractivos y competitivos",5
Disponibilidad en tiendas y establecimientos,"Amplia disponibilidad en diferentes tiendas",3
Promociones y descuentos,"Atractivas promociones y descuentos",4
Recomendación de amigos o familiares,"Recomendado por familiares o amigos cercanos",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing impactantes",3
Otros:,"Otras circunstancias",1
Precio competitivo,"Precios atractivos y competitivos en el mercado",5
Disponibilidad en tiendas y establecimientos,"Amplia disponibilidad en diferentes tiendas y comercios",3
Promociones y descuentos,"Atractivas promociones y descuentos",4
Recomendación de amigos o familiares,"Recomendado por amigos y familiares",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing notables",3
Otros:,"Diferentes motivos",1
Precio competitivo,"Precios competitivos y atractivos",5
Disponibilidad en tiendas y establecimientos,"Fácilmente disponible en tiendas y establecimientos",3
Promociones y descuentos,"Ofertas especiales y descuentos",4
Recomendación de amigos o familiares,"Recomendación personal de amigos o familiares",2
Publicidad y campañas de marketing,"Impactante publicidad y campañas de marketing",3
Otros:,"Diferentes razones",1
Precio competitivo,"Buen precio",5
Disponibilidad en tiendas y establecimientos,"Fácil de encontrar en tiendas",3
Promociones y descuentos,"Descuentos y promociones atractivas",4
Recomendación de amigos o familiares,"Recomendado por conocidos",2
Publicidad y campañas de marketing,"Buena publicidad y estrategias de marketing",3
Otros:,"Diferentes motivos",1
Precio competitivo,"Precios competitivos",5
Disponibilidad en tiendas y establecimientos,"Amplia disponibilidad en tiendas",3
Promociones y descuentos,"Promociones y descuentos interesantes",4
Recomendación de amigos o familiares,"Recomendado por personas cercanas",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing",3
Otros:,"Otras razones",1
Precio competitivo,"Precios asequibles",5
Disponibilidad en tiendas y establecimientos,"Fácil de encontrar en diferentes lugares",3
Promociones y descuentos,"Ofertas y descuentos atractivos",4
Recomendación de amigos o familiares,"Recomendado por seres queridos",2
Publicidad y campañas de marketing,"Publicidad llamativa y estrategias de marketing",3
Otros:,"Otras circunstancias",1
Precio competitivo,"Buenos precios",5
Disponibilidad en tiendas y establecimientos,"Disponibilidad en tiendas y comercios",3
Promociones y descuentos,"Promociones y descuentos interesantes",4
Recomendación de amigos o familiares,"Recomendado por familiares o amigos cercanos",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing impactantes",3
Otros:,"Distintos aspectos",1
Precio competitivo,"Precios atractivos y competitivos",5
Disponibilidad en tiendas y establecimientos,"Amplia disponibilidad en diferentes tiendas",3
Promociones y descuentos,"Atractivas promociones y descuentos",4
Recomendación de amigos o familiares,"Recomendado por amigos y familiares",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing llamativas",3
Otros:,"Otras motivaciones",1
Precio competitivo,"Precios asequibles y competitivos",5
Disponibilidad en tiendas y establecimientos,"Amplia disponibilidad en tiendas y establecimientos",3
Promociones y descuentos,"Ofertas promocionales y descuentos atractivos",4
Recomendación de amigos o familiares,"Recomendado por amigos o familiares cercanos",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing impactantes",3
Otros:,"Diferentes factores",1
Precio competitivo,"Buen precio y competitivo",5
Disponibilidad en tiendas y establecimientos,"Amplia disponibilidad en tiendas y comercios",3
Promociones y descuentos,"Ofertas promocionales y descuentos atractivos",4
Recomendación de amigos o familiares,"Me lo recomendaron",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing notables",3
Otros:,"Otras razones",1
Precio competitivo,"Precios atractivos y competitivos",5
Disponibilidad en tiendas y establecimientos,"Amplia disponibilidad en diferentes tiendas",3
Promociones y descuentos,"Atractivas promociones y descuentos",4
Recomendación de amigos o familiares,"Recomendado por familiares o amigos cercanos",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing impactantes",3
Otros:,"Otras circunstancias",1
Precio competitivo,"Precios atractivos y competitivos en el mercado",5
Disponibilidad en tiendas y establecimientos,"Amplia disponibilidad en diferentes tiendas y comercios",3
Promociones y descuentos,"Atractivas promociones y descuentos",4
Recomendación de amigos o familiares,"Recomendado por amigos y familiares",2
Publicidad y campañas de marketing,"Publicidad efectiva y campañas de marketing notables",3
Otros:,"Diferentes motivos",1
Publicidad y campañas de marketing,"Anuncios",3
Publicidad y campañas de marketing,"Buenos anuncios",3
Publicidad y campañas de marketing,"Publicidad",3
Publicidad y campañas de marketing,"Publicidad interesante",3
