respuesta,respuesta_LN,calificacion
Menos de 1 año,Hace unos meses que comencé a consumir Coca-Cola.,2
Más de 10 años,Tengo más de 12 años siendo consumidor de Coca-Cola.,5
5-10 años,He sido fanático de Coca-Cola durante aproximadamente 7 años.,4
1-5 años,Llevo consumiendo Coca-Cola desde hace casi 4 años.,3
Menos de 1 año,Hace 8 meses que empecé a beber Coca-Cola.,2
Más de 10 años,Soy un fiel consumidor de Coca-Cola desde hace más de una década.,5
1-5 años,Tengo una experiencia de consumo de Coca-Cola de aproximadamente 5 años.,3
5-10 años,Consumo Coca-Cola desde hace 6 años y me encanta.,4
Más de 10 años,He sido un seguidor leal de Coca-Cola durante más de 10 años.,5
Menos de 1 año,Hace 6 meses que comencé a beber Coca-Cola.,2
1-5 años,Tengo una trayectoria de consumo de Coca-Cola de alrededor de 3 años.,3
5-10 años,Llevo consumiendo Coca-Cola desde hace casi 8 años.,4
Más de 10 años,Tengo más de 14 años disfrutando de Coca-Cola.,5
1-5 años,Llevo consumiendo Coca-Cola desde hace 3 años y me gusta mucho.,3
5-10 años,He sido fan de Coca-Cola durante unos 6 años.,4
Menos de 1 año,Hace poco más de medio año que consumo Coca-Cola.,2
Más de 10 años,Soy un consumidor leal de Coca-Cola desde hace más de 15 años.,5
5-10 años,Llevo consumiendo Coca-Cola desde hace unos 9 años.,4
1-5 años,He sido consumidor de Coca-Cola durante aproximadamente 4 años.,3
Menos de 1 año,Hace 7 meses que empecé a beber Coca-Cola.,2
Más de 10 años,Tengo una larga trayectoria como consumidor de Coca-Cola de más de 20 años.,5
1-5 años,Consumo Coca-Cola desde hace aproximadamente 3 años y me gusta mucho.,3
5-10 años,He sido fan de Coca-Cola durante alrededor de 8 años.,4
Menos de 1 año,Hace poco tiempo que empecé a beber Coca-Cola.,2
Más de 10 años,Soy un leal consumidor de Coca-Cola desde hace más de 10 años.,5
1-5 años,Llevo consumiendo Coca-Cola desde hace unos 4 años.,3
5-10 años,Consumo Coca-Cola desde hace alrededor de 6 años y me encanta.,4
Menos de 1 año,Llevo consumiendo Coca-Cola desde hace menos de un año.,2
Más de 10 años,Tengo una larga trayectoria como consumidor de Coca-Cola de más de 20 años.,5
1-5 años,He sido consumidor de Coca-Cola durante aproximadamente 4 años.,3
5-10 años,Consumo Coca-Cola desde hace alrededor de 8 años.,4
Más de 10 años,Soy un fiel consumidor de Coca-Cola desde hace más de 10 años.,5
1-5 años,Llevo consumiendo Coca-Cola desde hace casi 3 años.,3
5-10 años,He sido fanático de Coca-Cola durante aproximadamente 6 años.,4
Menos de 1 año,Hace poco más de medio año que consumo Coca-Cola.,2
Más de 10 años,Soy un consumidor leal de Coca-Cola desde hace más de una década.,5
