respuesta,respuesta_LN,calificacion
Sabor,"Me encanta el sabor de los productos de Coca-Cola",5
Marca reconocida,"Coca-Cola es una marca muy reconocida a nivel mundial",3
Publicidad,"La publicidad de Coca-Cola es impactante y llamativa",3
Disponibilidad,"Siempre encuentro los productos de Coca-Cola en cualquier tienda",2
Precio,"Considero que el precio de los productos de Coca-Cola es justo",4
Otros: ,"No tengo una opinión específica sobre otros aspectos de los productos de Coca-Cola",1
Sabor,"El sabor de Coca-Cola es delicioso y refrescante",5
Marca reconocida,"La marca Coca-Cola es sinónimo de calidad y prestigio",3
Publicidad,"La publicidad de Coca-Cola es creativa e innovadora",3
Disponibilidad,"Puedo encontrar los productos de Coca-Cola en todos lados",2
Precio,"El precio de los productos de Coca-Cola es razonable",4
Otros: ,"No tengo una opinión particular sobre otros aspectos de los productos de Coca-Cola",1
Sabor,"El sabor de los productos de Coca-Cola es único y adictivo",5
Marca reconocida,"Coca-Cola es una marca reconocida en todo el mundo",3
Publicidad,"La publicidad de Coca-Cola siempre logra captar mi atención",3
Disponibilidad,"Siempre encuentro los productos de Coca-Cola en los establecimientos",2
Precio,"Considero que el precio de los productos de Coca-Cola es justo",4
Otros: ,"No tengo una opinión específica sobre otros aspectos de los productos de Coca-Cola",1
Sabor,"Nada se compara al delicioso sabor de Coca-Cola",5
Marca reconocida,"Coca-Cola es una marca icónica y reconocida mundialmente",3
Publicidad,"La publicidad de Coca-Cola es creativa y emocional",3
Disponibilidad,"Los productos de Coca-Cola están disponibles en todos lados",2
Precio,"El precio de los productos de Coca-Cola es accesible",4
Otros: ,"No tengo una opinión en particular sobre otros aspectos de los productos de Coca-Cola",1
Sabor,"El sabor de Coca-Cola es inigualable y refrescante",5
Marca reconocida,"La marca Coca-Cola es conocida y respetada a nivel global",3
Publicidad,"La publicidad de Coca-Cola es efectiva y cautivadora",3
Disponibilidad,"Encuentro los productos de Coca-Cola fácilmente en cualquier lugar",2
Precio,"Considero que el precio de los productos de Coca-Cola es razonable",4
Otros: ,"No tengo una opinión específica sobre otros aspectos de los productos de Coca-Cola",1
Sabor,"El sabor de los productos de Coca-Cola es auténtico y delicioso",5
Marca reconocida,"Coca-Cola es una marca reconocida y valorada en todo el mundo",3
Publicidad,"La publicidad de Coca-Cola siempre logra transmitir un mensaje impactante",3
Disponibilidad,"Los productos de Coca-Cola están disponibles en todos los establecimientos",2
Precio,"Considero que el precio de los productos de Coca-Cola es adecuado",4
Otros: ,"No tengo una opinión particular sobre otros aspectos de los productos de Coca-Cola",1
Sabor,"El sabor de Coca-Cola es único y me encanta su dulzura",5
